fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/05/08,5.017436,7.2,1.8,102.787836,100.0,100.0
2020/05/09,4.542331,7.3,2.8,118.591252,100.0,100.0
2020/05/10,1.6625,2.6,1.3,62.714385,100.0,100.0
2020/05/11,1.605263,2.3,0.3,352.104039,100.0,100.0
2020/05/12,2.477305,3.9,1.3,310.615366,100.0,100.0
2020/05/13,1.746753,3.5,0.8,310.998452,97.6,95.8
2020/05/14,2.05443,4.0,0.3,175.620104,100.0,100.0
2020/05/15,3.088356,5.5,1.4,102.472623,100.0,100.0
2020/05/16,5.701563,7.8,2.8,105.83165,100.0,100.0
2020/05/17,4.809184,7.1,2.9,106.665058,100.0,100.0
2020/05/18,2.250926,5.0,1.0,125.572654,100.0,100.0
2020/05/19,3.620814,5.8,1.6,100.301716,100.0,100.0
2020/05/20,3.598734,6.0,1.4,118.991755,100.0,100.0
2020/05/21,4.674405,6.5,2.3,104.995513,100.0,100.0
2020/05/22,2.825,3.1,2.6,161.750386,100.0,100.0
2020/05/23,4.348958,6.9,2.6,120.051821,100.0,100.0
2020/05/24,5.204202,7.4,3.6,106.800389,100.0,100.0
2020/05/25,5.0875,8.0,3.2,117.640916,100.0,100.0
2020/05/26,5.857143,7.2,4.9,115.874638,100.0,100.0
2020/05/27,4.797917,8.3,0.9,97.592098,100.0,100.0
2020/05/28,0.4,0.4,0.4,271.0,100.0,100.0
2020/05/29,0.25,0.4,0.1,268.0,100.0,100.0
2020/05/30,0.527273,1.3,0.1,355.095826,100.0,100.0
2020/05/31,2.080769,3.6,0.7,99.631615,100.0,100.0
2020/06/01,3.0,5.3,0.0,102.738425,100.0,100.0
2020/06/02,1.891176,3.2,0.6,312.261288,100.0,100.0
2020/06/03,1.824,2.9,0.4,317.141082,99.3,100.0
2020/06/04,2.824528,4.3,1.3,106.621268,100.0,100.0
2020/06/05,2.825,3.7,1.2,167.856478,100.0,100.0
2020/06/06,3.975817,6.3,1.6,103.459253,100.0,100.0
2020/06/07,3.269403,6.3,0.9,122.815989,100.0,100.0
2020/06/08,2.663846,4.2,1.1,120.783126,100.0,100.0
2020/06/09,2.81,4.0,1.8,122.34867,100.0,100.0
2020/06/10,2.551337,6.0,0.3,89.84233,99.0,100.0
2020/06/11,1.614754,3.7,0.4,57.794948,100.0,100.0
2020/06/12,2.025,3.0,0.7,86.868406,100.0,100.0
2020/06/14,2.92451,4.9,1.5,124.367974,100.0,100.0
2020/06/15,3.4,3.9,2.9,161.5,100.0,100.0
2020/06/16,3.244643,5.5,1.7,120.722865,100.0,100.0
2020/06/17,1.15,1.9,0.2,359.155341,99.3,100.0
2020/06/18,2.564251,4.9,0.7,96.011176,100.0,100.0
2020/06/19,2.7125,5.0,0.3,166.400915,100.0,100.0
2020/06/20,4.65034,6.9,2.1,103.83261,100.0,100.0
2020/06/21,3.385714,4.2,3.1,165.332335,100.0,100.0
2020/06/22,5.209524,8.1,2.3,103.682637,100.0,100.0
2020/06/23,3.149673,5.9,0.5,123.704543,100.0,100.0
2020/06/24,1.5,1.6,1.4,59.5,100.0,100.0
2020/06/25,3.344444,5.5,0.9,123.401852,99.3,100.0
2020/06/26,4.324096,6.6,1.2,105.122253,100.0,100.0
2020/06/27,2.206667,2.8,1.7,167.172363,100.0,100.0
2020/06/28,2.94,3.2,2.7,166.663435,100.0,100.0
2020/06/29,3.2,3.2,3.2,163.0,100.0,100.0
2020/06/30,3.521769,5.8,1.6,102.257642,100.0,100.0
2020/07/01,2.557246,5.0,0.9,123.998856,100.0,100.0
2020/07/02,2.493605,3.8,0.8,124.302472,100.0,100.0
2020/07/03,2.65625,3.9,1.7,167.061055,100.0,100.0
