fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/05/12,2.477305,3.900000,1.300000,310.615366,100.0,100.0
2020/05/13,1.746753,3.500000,0.800000,310.998452,97.6,95.8
2020/05/14,2.054430,4.000000,0.300000,175.620104,100.0,100.0
2020/05/15,3.088356,5.500000,1.400000,102.472623,100.0,100.0
2020/05/16,5.701563,7.800000,2.800000,105.831650,100.0,100.0
2020/05/17,4.809184,7.100000,2.900000,106.665058,100.0,100.0
2020/05/18,2.250926,5.000000,1.000000,125.572654,100.0,100.0
2020/05/19,3.620814,5.800000,1.600000,100.301716,100.0,100.0
2020/05/20,3.598734,6.000000,1.400000,118.991755,100.0,100.0
2020/05/21,4.674405,6.500000,2.300000,104.995513,100.0,100.0
2020/05/22,2.825000,3.100000,2.600000,161.750386,100.0,100.0
2020/05/23,4.348958,6.900000,2.600000,120.051821,100.0,100.0
2020/05/24,5.204202,7.400000,3.600000,106.800389,100.0,100.0
2020/05/25,5.087500,8.000000,3.200000,117.640916,100.0,100.0
2020/05/26,5.857143,7.200000,4.900000,115.874638,100.0,100.0
2020/05/27,4.797917,8.300000,0.900000,97.592098,100.0,100.0
2020/05/28,0.400000,0.400000,0.400000,271.000000,100.0,100.0
2020/05/29,0.250000,0.400000,0.100000,268.000000,100.0,100.0
2020/05/30,0.527273,1.300000,0.100000,355.095826,100.0,100.0
2020/05/31,2.080769,3.600000,0.700000,99.631615,100.0,100.0
2020/06/01,3.000000,5.300000,0.000000,102.738425,100.0,100.0
2020/06/02,1.891176,3.200000,0.600000,312.261288,100.0,100.0
2020/06/03,1.824000,2.900000,0.400000,317.141082,99.3,100.0
2020/06/04,2.824528,4.300000,1.300000,106.621268,100.0,100.0
2020/06/05,2.825000,3.700000,1.200000,167.856478,100.0,100.0
2020/06/06,3.975817,6.300000,1.600000,103.459253,100.0,100.0
2020/06/07,3.269403,6.300000,0.900000,122.815989,100.0,100.0
2020/06/08,2.663846,4.200000,1.100000,120.783126,100.0,100.0
2020/06/09,2.810000,4.000000,1.800000,122.348670,100.0,100.0
2020/06/10,2.551337,6.000000,0.300000,89.842330,99.0,100.0
2020/06/11,1.614754,3.700000,0.400000,57.794948,100.0,100.0
2020/06/12,2.025000,3.000000,0.700000,86.868406,100.0,100.0
2020/06/13,0.000000,,,,98.6,100.0
2020/06/14,2.924510,4.900000,1.500000,124.367974,100.0,100.0
2020/06/15,3.400000,3.900000,2.900000,161.500000,100.0,100.0
2020/06/16,3.244643,5.500000,1.700000,120.722865,100.0,100.0
2020/06/17,1.150000,1.900000,0.200000,359.155341,99.3,100.0
2020/06/18,2.564251,4.900000,0.700000,96.011176,100.0,100.0
2020/06/19,2.712500,5.000000,0.300000,166.400915,100.0,100.0
2020/06/20,4.650340,6.900000,2.100000,103.832610,100.0,100.0
2020/06/21,3.385714,4.200000,3.100000,165.332335,100.0,100.0
2020/06/22,5.209524,8.100000,2.300000,103.682637,100.0,100.0
2020/06/23,3.149673,5.900000,0.500000,123.704543,100.0,100.0
2020/06/24,1.500000,1.600000,1.400000,59.500000,100.0,100.0
2020/06/25,3.344444,5.500000,0.900000,123.401852,99.3,100.0
2020/06/26,4.324096,6.600000,1.200000,105.122253,100.0,100.0
2020/06/27,2.206667,2.800000,1.700000,167.172363,100.0,100.0
2020/06/28,2.940000,3.200000,2.700000,166.663435,100.0,100.0
2020/06/29,3.200000,3.200000,3.200000,163.000000,100.0,100.0
2020/06/30,3.521769,5.800000,1.600000,102.257642,100.0,100.0
2020/07/01,2.557246,5.000000,0.900000,123.998856,100.0,100.0
2020/07/02,2.493605,3.800000,0.800000,124.302472,100.0,100.0
2020/07/03,2.656250,3.900000,1.700000,167.061055,100.0,100.0
2020/07/04,2.857143,3.500000,2.000000,162.734554,100.0,100.0
2020/07/05,1.737383,3.900000,0.200000,96.050297,99.3,100.0
2020/07/06,2.159375,4.000000,0.400000,169.934823,98.6,95.8
2020/07/07,1.388889,1.900000,0.700000,161.583384,100.0,100.0
2020/07/08,2.064957,4.300000,0.200000,95.246265,99.7,100.0
2020/07/09,2.366667,2.900000,1.900000,163.333228,97.9,95.8
2020/07/10,3.345370,5.100000,1.100000,104.132832,100.0,100.0
2020/07/11,2.646875,4.400000,1.100000,97.893137,100.0,100.0
2020/07/12,2.267857,3.600000,1.400000,164.421201,100.0,100.0
2020/07/13,3.172571,5.500000,1.200000,125.352920,99.7,100.0
2020/07/14,1.700000,1.700000,1.700000,169.000000,100.0,100.0
2020/07/15,2.856098,4.700000,1.100000,122.417046,100.0,100.0
2020/07/16,3.510000,4.400000,2.200000,162.999664,100.0,100.0
2020/07/17,2.637500,4.500000,1.200000,126.850372,99.7,100.0
2020/07/18,2.210000,4.000000,1.200000,166.496301,95.5,95.8
2020/07/19,5.221547,8.300000,2.400000,103.465369,100.0,100.0
2020/07/20,3.837500,6.000000,1.900000,121.270714,100.0,100.0
2020/07/21,0.885714,2.300000,0.300000,173.064422,100.0,100.0
2020/07/22,1.980000,3.200000,0.200000,178.307018,100.0,100.0
2020/07/23,1.272727,2.900000,0.300000,58.125479,100.0,100.0
2020/07/24,0.500000,0.500000,0.500000,232.000000,100.0,100.0
2020/07/25,3.333333,3.700000,3.000000,168.335262,100.0,100.0
2020/07/26,4.609664,6.800000,1.600000,100.899725,100.0,100.0
2020/07/27,2.907143,4.500000,1.300000,165.821230,100.0,100.0
2020/07/28,3.220000,6.400000,0.500000,124.468790,100.0,100.0
2020/07/29,2.848485,5.900000,1.300000,123.232976,100.0,100.0
2020/07/30,3.331548,5.200000,1.500000,98.286160,100.0,100.0
2020/07/31,2.850450,5.400000,1.100000,124.411462,100.0,100.0
2020/08/01,5.158744,7.000000,2.800000,99.712893,100.0,100.0
2020/08/02,3.349425,5.800000,1.000000,122.773442,100.0,100.0
2020/08/03,0.000000,,,,99.3,100.0
2020/08/04,4.393133,7.300000,0.900000,100.059369,100.0,100.0
2020/08/05,4.905128,7.200000,3.200000,117.310380,100.0,100.0
